school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
East Oakland PRIDE Elementary,1,0,243,143,4526,0.05368979231109147,0.03159522757401679
East Oakland PRIDE Elementary,1,1,187,114,3448,0.05423433874709977,0.03306264501160093
East Oakland PRIDE Elementary,1,2,303,172,3485,0.08694404591104735,0.049354375896700144
Ellerhorst Elementary,0,0,181,76,3652,0.0495618838992333,0.0208105147864184
Ellerhorst Elementary,0,1,147,116,2506,0.05865921787709497,0.04628890662410216
Ellerhorst Elementary,0,2,188,127,3050,0.06163934426229508,0.04163934426229508
Emerson Elementary,1,0,169,130,2958,0.05713319810682894,0.04394861392832995
Emerson Elementary,1,1,192,131,2517,0.07628128724672228,0.052046086611044894
Emerson Elementary,1,2,235,179,2964,0.07928475033738192,0.06039136302294197
EnCompass Academy,1,0,120,78,2810,0.042704626334519574,0.027758007117437724
EnCompass Academy,1,1,150,90,2604,0.0576036866359447,0.03456221198156682
EnCompass Academy,1,2,170,108,3017,0.056347364932051704,0.035797149486244614
Esperanza Elementary,1,0,119,87,3221,0.03694504812170134,0.027010245265445515
Esperanza Elementary,1,1,127,74,2707,0.04691540450683413,0.027336534909493906
Esperanza Elementary,1,2,177,98,3295,0.05371775417298938,0.029742033383915022
Fairmont Elementary,0,0,274,170,5079,0.053947627485725534,0.03347115573931876
Fairmont Elementary,0,1,198,106,3883,0.05099150141643059,0.027298480556270925
Fairmont Elementary,0,2,295,131,4540,0.06497797356828194,0.028854625550660793
Ford Elementary,0,0,227,118,3872,0.05862603305785124,0.030475206611570247
Ford Elementary,0,1,234,148,3398,0.06886403766921718,0.04355503237198352
Ford Elementary,0,2,353,192,3975,0.08880503144654088,0.04830188679245283
Franklin Elementary,1,0,231,105,7794,0.029638183217859892,0.013471901462663588
Franklin Elementary,1,1,298,181,5966,0.049949715051961115,0.03033858531679517
Franklin Elementary,1,2,365,152,6816,0.05355046948356808,0.022300469483568074
Fred T. Korematsu Discovery Academy,1,0,276,249,3888,0.07098765432098765,0.06404320987654322
Fred T. Korematsu Discovery Academy,1,1,155,146,3441,0.04504504504504504,0.04242952630049404
Fred T. Korematsu Discovery Academy,1,2,379,162,3517,0.10776229741256753,0.04606198464600512
Fruitvale Elementary,1,0,250,196,4602,0.054324206866579745,0.042590178183398525
Fruitvale Elementary,1,1,303,139,3095,0.09789983844911147,0.044911147011308564
Fruitvale Elementary,1,2,276,84,3575,0.0772027972027972,0.023496503496503496
Futures Elementary,1,0,216,80,3317,0.06511908350919506,0.02411817907747965
Futures Elementary,1,1,182,83,2596,0.07010785824345146,0.031972265023112484
Futures Elementary,1,2,269,121,2913,0.09234466186062479,0.04153793340199107
Garfield Elementary,1,0,245,71,5670,0.043209876543209874,0.012522045855379188
Garfield Elementary,1,1,165,73,4725,0.03492063492063492,0.01544973544973545
Garfield Elementary,1,2,290,117,5965,0.04861693210393965,0.01961441743503772
Glenview Elementary,1,0,146,130,4629,0.031540289479369196,0.028083819399438322
Glenview Elementary,1,1,200,164,3645,0.05486968449931413,0.044993141289437585
Glenview Elementary,1,2,226,189,4217,0.053592601375385344,0.04481859141569836
Global Family School,1,0,153,91,3890,0.03933161953727506,0.02339331619537275
Global Family School,1,1,148,99,3496,0.04233409610983982,0.02831807780320366
Global Family School,1,2,216,148,4289,0.050361389601305664,0.03450687806015388
Grant Elementary,0,0,301,156,5345,0.05631431244153414,0.029186155285313375
Grant Elementary,0,1,231,121,3946,0.058540293968575775,0.030663963507349214
Grant Elementary,0,2,471,312,4345,0.10840046029919448,0.07180667433831991
Grass Valley Elementary,1,0,158,105,2548,0.06200941915227629,0.04120879120879121
Grass Valley Elementary,1,1,135,116,2308,0.05849220103986135,0.05025996533795494
Grass Valley Elementary,1,2,185,159,2551,0.07252058016464132,0.062328498627989025
Hanna Ranch Elementary,0,0,204,156,4777,0.042704626334519574,0.03265647896169144
Hanna Ranch Elementary,0,1,150,141,3774,0.0397456279809221,0.037360890302066775
Hanna Ranch Elementary,0,2,232,215,4695,0.04941427050053248,0.04579339723109691
Harding Elementary,0,0,143,85,3018,0.04738237243207422,0.028164347249834326
Harding Elementary,0,1,120,87,2533,0.0473746545598105,0.03434662455586261
Harding Elementary,0,2,279,202,3725,0.07489932885906041,0.054228187919463086
Highland Elementary,0,0,268,148,4325,0.06196531791907514,0.03421965317919075
Highland Elementary,0,1,180,138,3402,0.05291005291005291,0.04056437389770723
Highland Elementary,0,2,300,189,4120,0.07281553398058252,0.045873786407766994
Hoover Elementary,1,0,240,88,3152,0.07614213197969544,0.027918781725888325
Hoover Elementary,1,1,172,110,2433,0.07069461570078094,0.04521167283189478
Hoover Elementary,1,2,196,128,2686,0.07297096053611318,0.04765450483991065
Horace Mann Elementary,1,0,188,75,3429,0.05482648002333042,0.021872265966754154
Horace Mann Elementary,1,1,221,122,3178,0.06954059156702329,0.03838892385147892
Horace Mann Elementary,1,2,289,147,3490,0.0828080229226361,0.042120343839541545
Howard Elementary,1,0,109,91,1927,0.05656460819927348,0.04722366372599896
Howard Elementary,1,1,145,63,1874,0.07737459978655283,0.0336179295624333
Howard Elementary,1,2,199,125,2086,0.09539789069990412,0.05992329817833174
International Community School,1,0,142,132,3476,0.040851553509781355,0.0379746835443038
International Community School,1,1,131,95,2640,0.04962121212121212,0.03598484848484849
International Community School,1,2,176,63,3045,0.05779967159277504,0.020689655172413793
Joaquin Miller Elementary,1,0,226,209,4114,0.054934370442391835,0.05080213903743316
Joaquin Miller Elementary,1,1,144,91,3379,0.042616158626812665,0.026931044687777447
Joaquin Miller Elementary,1,2,219,154,4363,0.05019482007792803,0.03529681411872565
Kaiser Elementary,1,0,100,72,2762,0.036205648081100654,0.02606806661839247
Kaiser Elementary,1,1,119,92,2183,0.05451213925790197,0.04214383875400825
Kaiser Elementary,1,2,142,103,2714,0.05232129697862933,0.03795136330140015
Kensington Elementary,0,0,148,110,4954,0.029874848607186113,0.022204279370205894
Kensington Elementary,0,1,168,146,3645,0.04609053497942387,0.04005486968449931
Kensington Elementary,0,2,144,127,4255,0.03384253819036428,0.029847238542890717
King Elementary,0,0,299,166,4319,0.06922898819171104,0.038434822875665665
King Elementary,0,1,210,179,3272,0.06418092909535453,0.05470660146699267
King Elementary,0,2,454,298,3940,0.11522842639593908,0.07563451776649746
La Escuelita Elementary,1,0,129,110,2770,0.04657039711191336,0.039711191335740074
La Escuelita Elementary,1,1,111,76,2443,0.04543593941874744,0.031109291854277528
La Escuelita Elementary,1,2,188,111,2985,0.06298157453936348,0.0371859296482412
Lafayette Elementary,1,0,253,100,2985,0.0847571189279732,0.03350083752093802
Lafayette Elementary,1,1,110,87,1795,0.06128133704735376,0.048467966573816156
Lafayette Elementary,1,2,157,78,1630,0.09631901840490797,0.04785276073619632
Lake Elementary,0,0,213,115,3556,0.05989876265466817,0.03233970753655793
Lake Elementary,0,1,198,116,2991,0.06619859578736209,0.03878301571380809
Lake Elementary,0,2,280,186,3275,0.08549618320610687,0.05679389312977099
Laurel Elementary,1,0,271,199,5273,0.0513938934193059,0.037739427271003226
Laurel Elementary,1,1,285,198,4377,0.06511309115832763,0.045236463331048665
Laurel Elementary,1,2,289,242,4806,0.06013316687473991,0.05035372451102788
Lincoln Elementary,0,0,240,111,3898,0.06157003591585428,0.028476141611082608
Lincoln Elementary,0,1,251,156,3190,0.0786833855799373,0.04890282131661442
Lincoln Elementary,0,2,387,196,3450,0.11217391304347826,0.05681159420289855
Lincoln Elementary,1,0,113,96,6953,0.016251977563641593,0.013806989788580469
Lincoln Elementary,1,1,136,122,5900,0.02305084745762712,0.020677966101694915
Lincoln Elementary,1,2,150,101,7170,0.02092050209205021,0.01408647140864714
Lupine Hills Elementary,0,0,239,129,4106,0.05820750121773015,0.0314174378957623
Lupine Hills Elementary,0,1,186,121,3202,0.05808869456589631,0.037788881948782015
Lupine Hills Elementary,0,2,223,145,3985,0.05595984943538269,0.03638644918444166
Madera Elementary,0,0,170,116,4845,0.03508771929824561,0.0239422084623323
Madera Elementary,0,1,137,108,3524,0.03887627695800227,0.03064699205448354
Madera Elementary,0,2,160,109,4180,0.03827751196172249,0.026076555023923444
Madison Park Lower Campus,1,0,113,36,2360,0.04788135593220339,0.015254237288135594
Madison Park Lower Campus,1,1,162,117,2181,0.07427785419532325,0.05364511691884457
Madison Park Lower Campus,1,2,216,120,2807,0.07695048094050588,0.04275026718916993
Manzanita Community School,1,0,221,96,3241,0.06818883060783709,0.029620487503856836
Manzanita Community School,1,1,211,91,2941,0.0717443046582795,0.030941856511390683
Manzanita Community School,1,2,302,144,4124,0.07322987390882638,0.03491755577109602
Manzanita SEED Elementary,1,0,141,66,3105,0.04541062801932367,0.021256038647342997
Manzanita SEED Elementary,1,1,203,122,3343,0.06072390068800479,0.03649416691594376
Manzanita SEED Elementary,1,2,267,159,3992,0.06688376753507014,0.03982965931863727
Markham Elementary,1,0,265,187,3580,0.07402234636871509,0.05223463687150838
Markham Elementary,1,1,175,98,3104,0.056378865979381444,0.03157216494845361
Markham Elementary,1,2,371,173,3359,0.11044953855314081,0.051503423637987496
Martin Luther King Jr Elementary,1,0,240,110,3142,0.07638446849140675,0.03500954805856143
Martin Luther King Jr Elementary,1,1,254,177,2555,0.09941291585127202,0.06927592954990215
Martin Luther King Jr Elementary,1,2,307,167,2859,0.10738020286813571,0.0584120321790836
Montalvin Elementary,0,0,199,29,3558,0.055930297920179874,0.008150646430578978
Montalvin Elementary,0,1,188,180,3016,0.0623342175066313,0.05968169761273209
Montalvin Elementary,0,2,285,274,3915,0.07279693486590039,0.06998722860791827
Montclair Elementary,1,0,169,144,4873,0.03468089472604145,0.029550584855325263
Montclair Elementary,1,1,184,135,4771,0.03856633829385873,0.028295954726472436
Montclair Elementary,1,2,269,192,6125,0.043918367346938776,0.0313469387755102
Murphy Elementary,0,0,278,168,4113,0.06759056649647459,0.040846097738876735
Murphy Elementary,0,1,196,145,3472,0.056451612903225805,0.04176267281105991
Murphy Elementary,0,2,331,187,4135,0.08004836759371221,0.04522370012091898
New Highland Academy,1,0,159,69,2963,0.05366182922713466,0.023287208909888626
New Highland Academy,1,1,165,87,2955,0.05583756345177665,0.029441624365482234
New Highland Academy,1,2,210,139,3416,0.06147540983606557,0.04069086651053864
Nystrom Elementary,0,0,292,96,3914,0.0746039856923863,0.02452733776188043
Nystrom Elementary,0,1,244,94,3598,0.0678154530294608,0.02612562534741523
Nystrom Elementary,0,2,468,271,4425,0.10576271186440678,0.061242937853107346
Ohlone Elementary,0,0,202,139,3864,0.05227743271221532,0.03597308488612837
Ohlone Elementary,0,1,169,112,2761,0.06120970662803332,0.04056501267656646
Ohlone Elementary,0,2,268,171,3970,0.06750629722921915,0.043073047858942067
Olinda Elementary,0,0,154,105,2863,0.05378973105134474,0.03667481662591687
Olinda Elementary,0,1,127,69,2345,0.05415778251599147,0.029424307036247335
Olinda Elementary,0,2,152,114,3125,0.04864,0.03648
Parker Elementary,1,0,120,83,1797,0.0667779632721202,0.04618809126321647
Parker Elementary,1,1,134,89,2002,0.06693306693306693,0.044455544455544456
Parker Elementary,1,2,184,69,2195,0.08382687927107062,0.03143507972665148
Peralta Elementary,1,0,111,101,3210,0.03457943925233645,0.03146417445482866
Peralta Elementary,1,1,122,115,2581,0.04726850058117009,0.044556373498643935
Peralta Elementary,1,2,131,127,3252,0.04028290282902829,0.03905289052890529
Peres Elementary,0,0,295,116,4634,0.06365990504963315,0.025032369443245578
Peres Elementary,0,1,266,155,3766,0.07063197026022305,0.041157727031332976
Peres Elementary,0,2,378,213,4625,0.08172972972972974,0.04605405405405406
Piedmont Avenue Elementary,1,0,229,180,3746,0.0611318739989322,0.04805125467164976
Piedmont Avenue Elementary,1,1,199,119,2960,0.06722972972972972,0.0402027027027027
Piedmont Avenue Elementary,1,2,211,151,3080,0.0685064935064935,0.04902597402597403
PLACE @ Prescott,1,0,94,85,1886,0.04984093319194061,0.045068928950159064
PLACE @ Prescott,1,1,152,120,1781,0.08534531162268388,0.06737787759685569
PLACE @ Prescott,1,2,166,35,1699,0.09770453207769277,0.020600353148911125
Reach Academy,1,0,274,169,3298,0.08308065494238932,0.05124317768344451
Reach Academy,1,1,246,148,3169,0.07762701167560744,0.04670242978857684
Reach Academy,1,2,328,208,3667,0.08944641396236706,0.05672211617125716
Redwood Heights Elementary,1,0,126,81,3532,0.03567383918459796,0.022933182332955833
Redwood Heights Elementary,1,1,217,155,2930,0.07406143344709898,0.052901023890784986
Redwood Heights Elementary,1,2,157,88,3563,0.04406399101880438,0.02469828795958462
RISE Community School,1,0,269,161,3332,0.08073229291716687,0.04831932773109244
RISE Community School,1,1,144,89,2418,0.05955334987593052,0.036807278742762614
RISE Community School,1,2,195,129,2378,0.08200168208578637,0.05424726661059714
Riverside Elementary,0,0,246,147,3637,0.06763816332141875,0.04041792686279901
Riverside Elementary,0,1,167,113,2831,0.058989756269869305,0.03991522430236665
Riverside Elementary,0,2,266,192,3205,0.08299531981279251,0.05990639625585024
Sequoia Elementary,1,0,258,209,3974,0.06492199295420231,0.052591847005535985
Sequoia Elementary,1,1,168,128,3412,0.0492379835873388,0.037514654161781943
Sequoia Elementary,1,2,198,126,4143,0.04779145546705286,0.03041274438812455
Shannon Elementary,0,0,191,100,2657,0.07188558524651863,0.03763643206624012
Shannon Elementary,0,1,184,132,2424,0.07590759075907591,0.054455445544554455
Shannon Elementary,0,2,297,180,2980,0.09966442953020134,0.06040268456375839
Sheldon Elementary,0,0,202,96,3550,0.056901408450704224,0.027042253521126762
Sheldon Elementary,0,1,155,79,2745,0.056466302367941715,0.02877959927140255
Sheldon Elementary,0,2,199,105,3060,0.0650326797385621,0.03431372549019608
Stege Elementary,0,0,251,139,3165,0.07930489731437598,0.04391785150078989
Stege Elementary,0,1,163,50,2239,0.07280035730236713,0.022331397945511387
Stege Elementary,0,2,238,69,2320,0.10258620689655172,0.029741379310344828
Tara Hills Elementary,0,0,295,139,4836,0.06100082712985939,0.028742762613730356
Tara Hills Elementary,0,1,257,122,3524,0.07292849035187288,0.034619750283768444
Tara Hills Elementary,0,2,403,237,3865,0.10426908150064683,0.06131953428201811
Think College Now,1,0,123,88,2956,0.04161028416779432,0.029769959404600813
Think College Now,1,1,133,94,2425,0.05484536082474227,0.03876288659793815
Think College Now,1,2,221,105,3149,0.07018100984439504,0.033343918704350585
Thornhill Elementary,1,0,122,89,3877,0.0314676296105236,0.022955893732267217
Thornhill Elementary,1,1,171,100,3157,0.05416534684827368,0.031675641431738996
Thornhill Elementary,1,2,165,120,3642,0.045304777594728174,0.032948929159802305
Valley View Elementary,0,0,192,157,2797,0.06864497676081516,0.05613156953879156
Valley View Elementary,0,1,249,136,2326,0.10705073086844367,0.058469475494411005
Valley View Elementary,0,2,240,153,2975,0.08067226890756303,0.05142857142857143
Verde Elementary,0,0,210,88,2825,0.074336283185840707,0.031150442477876107
Verde Elementary,0,1,148,85,2308,0.06412478336221837,0.03682842287694974
Verde Elementary,0,2,242,106,2755,0.08784029038112523,0.038475499092558985
Washington Elementary,0,0,291,133,4187,0.06950083592070695,0.03176498686410318
Washington Elementary,0,1,238,146,3360,0.07083333333333333,0.04345238095238095
Washington Elementary,0,2,358,234,4085,0.08763769889840882,0.05728274173806609
Wilson Elementary,0,0,277,127,4955,0.05590312815338042,0.025630676084762865
Wilson Elementary,0,1,193,122,3549,0.05438151591997746,0.034375880529726684
Wilson Elementary,0,2,301,181,3635,0.0828060522696011,0.04979367262723521
